Date,Open,High,Low,Close,Adj Close,Volume
2020-08-11,137.940002,142.947998,135.029999,138.250000,138.250000,13157100
2020-08-12,140.009995,143.419998,137.690002,139.020004,139.020004,10596900
2020-08-13,140.899994,145.509995,140.199997,143.190002,143.190002,9835000
2020-08-14,143.889999,144.000000,139.729996,141.960007,141.960007,6654700
2020-08-17,144.490005,153.679993,143.179993,152.479996,152.479996,13280500
2020-08-18,151.970001,153.190002,147.412003,151.039993,151.039993,8523400
2020-08-19,151.220001,152.354996,148.559998,150.369995,150.369995,6539900
2020-08-20,150.169998,158.100006,149.820007,155.860001,155.860001,12428100
2020-08-21,156.399994,159.470001,153.119995,155.100006,155.100006,8630500
2020-08-24,159.000000,159.000000,150.979996,151.789993,151.789993,8807700
2020-08-25,151.800003,155.740005,149.000000,155.000000,155.000000,6429400
2020-08-26,156.089996,158.690002,151.729996,153.740005,153.740005,7689900
2020-08-27,156.869995,161.539993,155.500000,155.610001,155.610001,11617200
2020-08-28,159.149994,159.149994,154.059998,155.929993,155.929993,6292000
2020-08-31,157.000000,160.774994,156.020004,159.559998,159.559998,7630200
2020-09-01,164.809998,170.460007,162.000000,166.660004,166.660004,12306400
2020-09-02,170.600006,170.610001,158.110001,162.880005,162.880005,11214800
2020-09-03,157.000000,157.229996,149.509995,152.860001,152.860001,16421200
2020-09-04,149.630005,152.220001,134.000000,146.389999,146.389999,17995200
2020-09-08,137.009995,146.139999,136.889999,139.110001,139.110001,10681400
2020-09-09,145.649994,145.649994,139.250000,144.210007,144.210007,9463600
2020-09-10,147.020004,148.544998,139.820007,141.070007,141.070007,6711500
2020-09-11,143.910004,143.910004,134.259995,137.449997,137.449997,8428400
2020-09-14,140.070007,145.399994,138.809998,144.399994,144.399994,7754800
2020-09-15,146.130005,158.500000,146.130005,154.500000,154.500000,18550000
2020-09-16,155.199997,159.000000,149.880005,151.050003,151.050003,10200500
2020-09-17,146.270004,147.690002,142.240005,145.639999,145.639999,11972200
2020-09-18,147.369995,149.130005,141.639999,145.009995,145.009995,8886600
2020-09-21,140.419998,151.979996,139.309998,151.119995,151.119995,12662700
2020-09-22,152.820007,156.339996,148.589996,155.589996,155.589996,11189700
2020-09-23,155.869995,157.979996,147.800003,149.589996,149.589996,8867000
2020-09-24,151.009995,155.923004,148.000000,152.309998,152.309998,13213900
2020-09-25,153.059998,158.979996,151.751007,157.720001,157.720001,8782800
2020-09-28,160.490005,164.500000,158.229996,160.759995,160.759995,10287100
2020-09-29,164.000000,167.559998,163.130005,164.809998,164.809998,12079900
2020-09-30,164.470001,166.190002,161.229996,162.550003,162.550003,6561200
2020-10-01,166.139999,168.610001,164.580002,168.490005,168.490005,6723500
2020-10-02,164.050003,171.240005,163.800995,169.610001,169.610001,11160200
2020-10-05,172.429993,181.889999,171.500000,180.919998,180.919998,16666700
2020-10-06,180.130005,182.240005,172.610001,175.339996,175.339996,12544000
2020-10-07,180.610001,182.750000,179.020004,180.179993,180.179993,7119300
2020-10-08,183.179993,185.369995,181.720001,183.500000,183.500000,7133400
2020-10-09,185.119995,188.740005,183.729996,187.279999,187.279999,6719700
2020-10-12,190.679993,191.940002,184.259995,185.169998,185.169998,7964700
2020-10-13,186.809998,191.360001,186.000000,190.470001,190.470001,6399900
2020-10-14,191.589996,193.440002,185.110001,187.490005,187.490005,6165800
2020-10-15,182.600006,188.679993,181.199997,188.600006,188.600006,6810100
2020-10-16,191.679993,192.839996,184.699997,186.350006,186.350006,5292800
2020-10-19,188.110001,191.399994,185.910004,186.960007,186.960007,5454000
2020-10-20,188.100006,189.699997,184.330002,185.740005,185.740005,4876000
2020-10-21,183.550003,184.740005,175.589996,177.820007,177.820007,10477200
2020-10-22,178.500000,181.979996,173.610001,175.929993,175.929993,6681600
2020-10-23,177.500000,177.789993,173.339996,176.770004,176.770004,4167600
2020-10-26,175.009995,176.860001,166.770004,169.889999,169.889999,6489400
2020-10-27,175.309998,176.259995,169.259995,171.020004,171.020004,6937600
2020-10-28,166.589996,168.940002,164.449997,167.130005,167.130005,5420300
2020-10-29,170.080002,172.080002,168.110001,169.860001,169.860001,4431800
2020-10-30,166.490005,167.397003,152.429993,154.880005,154.880005,14936400
2020-11-02,158.000000,161.240005,152.100006,155.229996,155.229996,8753600
2020-11-03,153.220001,161.050003,151.100006,158.210007,158.210007,8001400
2020-11-04,166.380005,171.360001,162.149994,171.289993,171.289993,7760600
2020-11-05,177.100006,177.289993,172.649994,175.229996,175.229996,15519700
2020-11-06,185.240005,201.330002,182.990005,198.080002,198.080002,27088300
